Name,Description,Update
Universidad de Córdoba (España),"La Universidad de Córdoba (UCO) es una institución pública de educación universitaria ubicada en la ciudad de Córdoba, España. Creada en 1972, hunde sus…",8 kB (777 palabras) - 07:02 25 abr 2023
Universidad de Oviedo,"La Universidad de Oviedo es una universidad pública ubicada en la ciudad de Oviedo (Asturias, España), con campus en Oviedo, Gijón y Mieres. Es la única…",22 kB (1862 palabras) - 06:12 26 may 2023
Universidad Nacional de Educación a Distancia,"vinculada administrativamente al Ministerio de Universidades.[4] Es la primera universidad de España por número de alumnos matriculados, con 156.975…",25 kB (2579 palabras) - 14:33 8 jun 2023
Universidad de Granada,"campus en las ciudades de Granada, Ceuta y Melilla. Es la cuarta universidad de España por número de estudiantes, miembro del Grupo Coimbra, de la Asociación…",25 kB (2385 palabras) - 14:34 17 may 2023
Universidad Autónoma de Madrid,"Madrid y fundada en 1968.[2] Se encuentra posicionada como la mejor universidad de España, en particular su Facultad de Derecho seleccionada como #1 por el…",23 kB (2186 palabras) - 15:24 27 may 2023
Universidad de Almagro,"universidad renacentista fundada en la ciudad de Almagro (España), una de las llamadas universidades menores.[1] La fundación de esta institución se debe…",15 kB (1998 palabras) - 18:35 23 may 2023
Universidad de Valladolid,"que la convierte en la tercera universidad más antigua de España, por detrás de la Universidad de Palencia y la Universidad de Salamanca. No obstante, se…",48 kB (5386 palabras) - 12:06 28 dic 2022
Universidad de Salamanca,"ciudades de Zamora, Ávila, Béjar y Villamayor. Es la universidad más antigua en operación de España y del mundo hispánico y la tercera más antigua de Europa…",67 kB (7400 palabras) - 22:04 6 jun 2023
Universidad de Palencia,"Palencia, popularmente conocido como Universidad de Palencia,[1][2] estaba situado en la ciudad de Palencia (España). Este studium generale fue el primer…",9 kB (879 palabras) - 10:25 14 abr 2023
Universidad de Barcelona,Biblioteca de la Universidad Complutense de Madrid.[1] Fue fundada en 1450 y es considerada como una de las universidades más antiguas de España.[2][3][4]…,24 kB (2592 palabras) - 05:57 14 abr 2023
Universidad Politécnica de Madrid,La Universidad Politécnica de Madrid (UPM) es una universidad pública con sede en la Ciudad Universitaria de Madrid (España) y con instalaciones en varias…,21 kB (1741 palabras) - 22:35 5 may 2023
Universidad Francisco de Vitoria,"La Universidad Francisco de Vitoria es una universidad privada ubicada en Pozuelo de Alarcón, Comunidad de Madrid (España).[1] Es una universidad católica…",9 kB (932 palabras) - 17:53 22 ago 2022
Universidad Jaime I,proceso de enseñanza y aprendizaje. La Universidad Jaime I se encuentra entre las primeras universidades de España en la obtención de recursos externos…,6 kB (652 palabras) - 21:20 8 mar 2023
Universidad de Madrid,"Censo-guía de Archivos de España e Iberoamérica. Ministerio de Educación, Cultura y Deporte.  Universidad Central. Universidad Complutense de Madrid - Ciudad…",5 kB (608 palabras) - 13:13 6 jun 2023
Universidad de Sevilla,"La Universidad de Sevilla (US) es una universidad pública con sede en Sevilla, Andalucía (España). Es una de las dos universidades públicas de Sevilla…",28 kB (3055 palabras) - 15:31 7 jun 2023
Universidad Complutense de Madrid,"Docta»[b] es la universidad pública más antigua de Madrid, considerada una de las universidades más importantes y prestigiosas de España y del mundo hispanohablante…",98 kB (10 436 palabras) - 09:08 7 jun 2023
Universidad de Extremadura,"Badajoz y de Cáceres (Comunidad Autónoma de Extremadura, España).[4] Es la única universidad de la comunidad autónoma, con dos campus, en Cáceres y Badajoz…",27 kB (2962 palabras) - 12:09 15 feb 2023
Universidad Pontificia Comillas,"La Universidad Pontificia Comillas es una universidad privada española, dirigida por la Compañía de Jesús, con sede en Madrid (España) y campus en Madrid…",17 kB (1495 palabras) - 12:15 5 jun 2023
Universidad de Alcalá (histórica),"La Universidad de Alcalá, Universidad Complutense o Universidad Cisneriana (Complutensis Universitas) fue la universidad que existió en la localidad española…",48 kB (5222 palabras) - 13:28 9 jun 2023
Universidad de Murcia,La Universidad de Murcia (UM) es una universidad pública española ubicada en la Región de Murcia (España). Sus centros se encuentran distribuidos en cinco…,48 kB (4111 palabras) - 23:46 7 jun 2023
Universidad de Cantabria,La Universidad de Cantabria (UC) es una universidad pública radicada en la comunidad autónoma de Cantabria (España). Tiene quince centros distribuidos…,18 kB (1854 palabras) - 04:14 3 jun 2023
Universidad Europea de Madrid,"cuatro universidades en España y Portugal: Universidad Europea de Madrid, Universidad Europea de Valencia, Universidad Europea de Canarias y Universidade Europeia…",6 kB (560 palabras) - 10:53 27 feb 2023
Universidad Católica de Ávila,"católica, ubicada en Ávila, Castilla y León (España). Su nombre rinde homenaje a Santa Teresa de Jesús. La Universidad Católica «Santa Teresa de Jesús» de Ávila…",6 kB (645 palabras) - 01:42 27 feb 2023
Universidad de La Rioja,"La Universidad de La Rioja (UR) es una universidad pública con sede en Logroño, La Rioja (España).[1] Fue creada por ley en 1992.[2] Forma parte del…",20 kB (2452 palabras) - 19:23 16 nov 2022
Universidad de Alcalá,"La Universidad de Alcalá es una universidad pública ubicada en Alcalá de Henares (Madrid), España. Con campus en Alcalá de Henares (Madrid) y Guadalajara…",70 kB (6951 palabras) - 09:32 11 abr 2023
Universidad de Deusto,"País Vasco (España), además de dos sedes en Vitoria y Madrid. Actualmente su rector es José María Guibert Ucín.[1] Es la universidad privada española…",15 kB (1453 palabras) - 09:03 28 mar 2023
Universidad Europea,La Universidad Europea es una institución de enseñanza superior que gestiona tres universidades privadas en España y una en Portugal: Universidad Europea…,8 kB (938 palabras) - 13:37 23 feb 2023
Universidad Ramon Llull,"La Universidad Ramon Llull (URL), (en catalán y oficialmente Universitat Ramon Llull), es una universidad privada de inspiración cristiana ubicada en Barcelona…",4 kB (411 palabras) - 17:34 1 dic 2022
Universidad de Gerona,"La Universidad de Gerona (UdG) (en catalán: Universitat de Girona) es una universidad pública ubicada en Gerona, Cataluña (España). Fue reconocida como…",13 kB (1571 palabras) - 20:47 21 may 2023
Universidad de Vigo,"La Universidad de Vigo (UVigo) es una universidad pública con sede en Vigo, España. Tiene campus en tres ciudades: Vigo, Pontevedra y Orense. La Universidad…",17 kB (1718 palabras) - 16:27 17 may 2023
Universidad Católica San Antonio de Murcia,"pedanía del municipio de Murcia (España). Es propiedad de la Fundación Universitaria San Antonio que, al igual que la universidad, lleva el nombre de su patrón…",15 kB (1499 palabras) - 15:45 20 may 2023
Universidad,"alrededor de 1208; Universidad de Palencia (España) en 1208, precursora de la Universidad de Valladolid; Universidad de Salamanca (España) en 1218 (su origen…",34 kB (3719 palabras) - 22:32 20 may 2023
Universidad de La Laguna,"La Universidad de La Laguna (ULL) es una universidad pública situada en la ciudad de San Cristóbal de La Laguna, en Tenerife (España). Es el centro de…",50 kB (6111 palabras) - 08:07 30 may 2023
Universidad de Valencia,"bajo el nombre de Estudi General, es una de las universidades más antiguas de España. Es una universidad pública, orientada a la docencia e investigación…",35 kB (3722 palabras) - 16:26 17 abr 2023
Universidad de Navarra,"La Universidad de Navarra es una universidad privada católica perteneciente a la prelatura del Opus Dei y fundada en Pamplona, Navarra (España) en 1952…",41 kB (3115 palabras) - 20:00 22 abr 2023
Universidad CEU San Pablo,2020.  «Universidades privadas con más alumnos España 2019». Statista. Consultado el 7 de abril de 2020.  «Campus e instalaciones • Universidad CEU San…,9 kB (894 palabras) - 18:52 11 may 2023
Universidad popular,"ideario las universidades populares son asociaciones sin ánimo de lucro con finalidad social.[1] Su origen y desarrollo se produce en Francia, España y Alemania…",26 kB (3103 palabras) - 05:08 23 may 2023
Universidad de Santiago de Compostela,"Galicia (España), y campus en Santiago de Compostela y Lugo. Fue fundada en 1495 por Lope Gómez de Marzoa y es, con sus más de 500 años, la universidad de más…",24 kB (2804 palabras) - 17:11 22 may 2023
Universidad Rey Juan Carlos,"siendo por ello la segunda universidad de Madrid con mayor número de alumnos matriculados, y la sexta de España.[4] La Universidad Rey Juan Carlos se divide…",22 kB (2094 palabras) - 09:52 31 may 2023
Universidad de Málaga,Anexo:Rectores de la Universidad de Málaga Universidad Anexo:Universidades de España Campus de Excelencia Internacional Ranking de universidades españolas https://www…,44 kB (4637 palabras) - 14:04 26 abr 2023
Universidad Internacional de Valencia,el Ministerio de Universidades de España y con sede principal en Valencia (España). Se encuentra entre las más destacadas de España según rankings como…,26 kB (2486 palabras) - 21:18 18 may 2023
Universidad católica,"Nicaragua, o la Universidad Eclesiástica San Dámaso que depende de la Archidiócesis de Madrid, en España. También son católicas las universidades que dependen…",9 kB (1112 palabras) - 08:26 6 abr 2023
Universidad de Lérida,Capítulo Catedralicio. En la segunda mitad del siglo XVII las universidades en España vivían un periodo de decadencia que continuaría hasta el reinado…,6 kB (554 palabras) - 12:47 13 may 2023
Universidad de León,"La Universidad de León (ULE) es una universidad pública con sede en la ciudad de León, (España), y con un campus adicional en Ponferrada. El germen de…",15 kB (1640 palabras) - 08:05 19 abr 2023
Universidad de Cádiz,"La Universidad de Cádiz es la universidad pública de la provincia de Cádiz, en la comunidad autónoma española de Andalucía. Fue fundada en el año 1979…",36 kB (3647 palabras) - 07:28 14 abr 2023
Universidad pública,"Una universidad pública es una universidad cuya financiación corre a cargo principalmente de un Gobierno, bien nacional o de alguna entidad subnacional…",20 kB (2451 palabras) - 08:34 6 abr 2023
Universidad Central del Ecuador,La Universidad Central del Ecuador es la universidad más antigua y la segunda más grande por número de estudiantes de la República del Ecuador. Se ubica…,45 kB (6132 palabras) - 08:03 18 may 2023
Universidad de Jaén,"La Universidad de Jaén (UJA) es una universidad pública con sede en Jaén, Andalucía (España). Se trata de una universidad joven creada mediante la Ley…",28 kB (3056 palabras) - 14:59 27 may 2023
Universidad Camilo José Cela,"innovadoras en educación ubicada en España. Un proyecto que ofrece a los emprendedores un período de estancia en la universidad, contacto con los profesores…",11 kB (1294 palabras) - 14:01 16 ene 2023
Universidades españolas en el Siglo de Oro,y la reforma de la universidad en la España del siglo XVIII (3.ª edición). Madrid: Ed. Pegaso; 1985. Pérez Puente L. Universidad de doctores: México…,57 kB (3937 palabras) - 13:59 14 abr 2023
Universidad Internacional de Andalucía,"La Universidad Internacional de Andalucía (UNIA) es una universidad pública de Andalucía, España fundada en 1994 con vocación complementaria al resto…",4 kB (326 palabras) - 19:38 12 may 2023
Universidad San Jorge,"ubicada en Villanueva de Gállego, provincia de Zaragoza, Aragón (España). La Universidad San Jorge es una institución de educación superior universitaria…",14 kB (1510 palabras) - 10:31 9 abr 2023
Universidad de Almería,"crecido de modo acelerado, convirtiéndose en una de las principales universidades de España en investigación y transferencia de conocimiento en campos como…",18 kB (2349 palabras) - 09:31 21 dic 2022
Universidad Loyola (Andalucía),"Granada). La Universidad Loyola forma parte de UNIJES, la federación que integra a las universidades y centros universitarios jesuitas de España. Creada en…",7 kB (857 palabras) - 10:41 12 nov 2022
Universidad Carlos III de Madrid,"La Universidad Carlos III de Madrid (UC3M) es una universidad pública con sede en Getafe, Comunidad de Madrid (España). Fue fundada por Gregorio Peces-Barba…",9 kB (938 palabras) - 20:34 24 mar 2023
Universidad de Guadalajara,"solicitar la creación de una universidad en Guadalajara fue el obispo fray Felipe Galindo y Chávez al rey Carlos II de España. Sin embargo, fue solo después…",37 kB (4047 palabras) - 04:47 1 jun 2023
Universidad Autónoma de Barcelona,"La Universidad Autónoma de Barcelona[3] es una universidad pública de España, fundada en 1968. La mayor parte de sus centros docentes y servicios extra-académicos…",18 kB (1841 palabras) - 15:07 13 abr 2023
Universidad Pública de Navarra,"La Universidad Pública de Navarra, abreviado UPNA (en euskera Nafarroako Unibertsitate Publikoa o NUP), es la segunda universidad por número de alumnos…",18 kB (1876 palabras) - 17:50 1 may 2023
Universidad Internacional Menéndez Pelayo,La Universidad Internacional Menéndez Pelayo (UIMP) es una universidad pública española con domicilio social en Madrid[1] y principal sede histórica…,14 kB (1492 palabras) - 21:36 4 mar 2023
Universidad Sertoriana de Huesca,"La Universidad Sertoriana de Huesca fue fundada por Pedro IV de Aragón el 12 de marzo de 1354 desde Alcañiz, pese a la exclusividad que había sido otorgada…",11 kB (1094 palabras) - 16:48 23 may 2023
Universidad Tecnológica de Santiago,"Santander, España. Universidad de South Baylor, California. Universidad de Granada, España. Universidad de Sevilla, España. Universidad de Las Mujeres, Corea…",10 kB (1051 palabras) - 08:04 13 may 2023
Universidad Pontificia,Pontificia Universidad Javeriana Universidad Pontificia Bolivariana Ecuador Pontificia Universidad Católica del Ecuador España Universidad Pontificia…,8 kB (775 palabras) - 08:28 6 abr 2023
Universidad Villanueva,"La Universidad Villanueva es una universidad privada, de Fomento de Centros de Enseñanza, creada en 1977 y ubicada en Madrid (España).[1] El 9 de diciembre…",5 kB (371 palabras) - 09:08 8 may 2023
Universidad Politécnica de Cataluña,"Gabriel Ferraté, quien fue nombrado por el Gobierno de España como director general de Universidades e Investigación desde Madrid.[7] Durante el breve período…",28 kB (2301 palabras) - 10:46 26 feb 2023
Universidad Federal de Río de Janeiro,"las mejores universidades de América Latina, según la clasificación Webométrica del Consejo Superior de Investigaciones Científicas de España. [7] La Universidad…",19 kB (1947 palabras) - 19:02 13 abr 2023
Universidad Mayor Real y Pontificia San Francisco Xavier de Chuquisaca,"Cédula de Felipe IV de España anterior a su fundación, al considerarse una universidad nacida en disposición el Reino de España. Finalmente este título…",49 kB (5378 palabras) - 19:03 17 abr 2023
Universidad de Baeza,La Universidad de Baeza fue una universidad del antiguo Reino de Jaén (España) fundada en la ciudad de Baeza por bula del papa Pablo III en 1538. Fue una…,14 kB (1717 palabras) - 22:37 31 may 2023
Universidad Alfonso X el Sabio,"La Universidad Alfonso X el Sabio (UAX) es una universidad privada ubicada en la Comunidad de Madrid, España. Su nombre rinde homenaje a Alfonso X de…",7 kB (883 palabras) - 17:54 20 dic 2022
Universidad de Washington,"Comunidad Escuela de Trabajo Social La universidad tiene un programa de estudios en el extranjero en León (España), cuya sede se denomina León Center y…",4 kB (229 palabras) - 21:10 31 mar 2023
Universidad de Cervera,"La Universidad de Cervera es un edificio construido entre 1718 y 1740 ubicado en el municipio de Cervera, en la comarca de la Segarra (Lérida) España. Fue…",4 kB (415 palabras) - 19:32 3 jun 2023
Universidad Laboral de Gijón,"La Universidad Laboral de Gijón es un edificio situado en la parroquia de Cabueñes del concejo de Gijón (Principado de Asturias, España). Desde su construcción…",37 kB (4207 palabras) - 17:23 25 may 2023
Universidad de Orihuela,"La Universidad de Orihuela se encontraba emplazada en el convento de Santo Domingo, en Orihuela, España. Fue la segunda universidad más antigua del Reino…",9 kB (1178 palabras) - 21:07 25 may 2023
Universidad a distancia,"net. Por su parte, España creó la UNED en 1973, en aplicación de la nueva Ley General de Educación.[1] Alemania creó la Universidad a Distancia de Hagen…",6 kB (799 palabras) - 23:14 20 abr 2023
Universidad Santo Tomás,"Santo Tomás, universidad en Canadá. Universidad Santo Tomás, universidad en el Monasterio de Santo Tomás desde el siglo XVI al XIX, en Ávila, España.…",2 kB (163 palabras) - 14:52 26 feb 2021
Universidad de La Habana,la fundación de la universidad fueron el papa Inocencio XIII y el rey Felipe V de España. Posteriormente fue fundada la Universidad de La Habana (U-H)…,19 kB (2463 palabras) - 10:10 3 may 2023
Universidad Nacional de La Plata,"Technologische Studies de la Universidad de Leiden, en Países Bajos, o el Consejo Superior de Investigaciones Científicas de España (CSIC). Desde 2020, asimismo…",181 kB (19 976 palabras) - 15:39 8 jun 2023
Universidad de Concepción,"La Universidad de Concepción, también conocida por su acrónimo UdeC, es una universidad privada tradicional chilena, obra de la comunidad penquista, una…",44 kB (2702 palabras) - 16:25 16 may 2023
Universidad Nacional Autónoma de México,nombre de Real Universidad de México.[30][31] Ésta inauguró sus cursos el 25 de enero de 1553 cuando era virrey de la Nueva España don Luis de Velasco…,125 kB (10 215 palabras) - 17:53 2 jun 2023
Universidad Nacional de Rosario,multimedia sobre Universidad Nacional de Rosario. Universidad de Almagro (España) redirige desde Universidad de Nuestra Señora del Rosario Universidad del Rosario…,21 kB (2331 palabras) - 04:37 31 dic 2022
Universidad Autónoma de Santo Domingo,"esta bula la primera universidad en el nuevo continente, aunque esta no recibió el reconocimiento por parte del Reino de España hasta dos décadas después…",28 kB (2758 palabras) - 14:41 8 jun 2023
Universidad Central de Venezuela,independencia de España en América Latina por el P. Baltasar de los Reyes Marrero y otros miembros del profesorado de la Universidad. En mayo de 1827…,33 kB (3816 palabras) - 22:25 5 may 2023
Universidad Nacional Mayor de San Marcos,especializadas:[299] Biblioteca España de las Artes: Denominada antes «Biblioteca España del Centro Cultural de la Universidad Nacional Mayor de San Marcos»…,492 kB (38 748 palabras) - 02:06 7 jun 2023
Universidad de Santo Tomás (Filipinas),"Pontificia y Real Universidad de Santo Tomás, Universidad Católica de Filipinas o simplemente Universidad de Santo Tomás, es una universidad privada católica…",12 kB (1511 palabras) - 22:01 15 ene 2023
Universidad Internacional de Cataluña,"La Universidad Internacional de Cataluña (UIC Barcelona), Universitat Internacional de Catalunya en catalán, es una universidad privada con sede en Barcelona…",13 kB (1578 palabras) - 18:46 30 oct 2022
Universidad Miguel Hernández,"La Universidad Miguel Hernández (UMH), oficialmente Universidad de Miguel Hernández de Elche,[2] es una universidad pública española multicampus de la…",13 kB (1429 palabras) - 16:19 18 ene 2023
Universidad eclesiástica,"otras. La única universidad eclesiástica fuera de Roma en lengua española es la Universidad Eclesiástica San Dámaso, en Madrid (España). Portal:Iglesia…",6 kB (794 palabras) - 08:27 6 abr 2023
Universidad de San Antonio de Porta Coeli,"y de la Corona, la Universidad Seguntina se creó bajo la nueva fórmula de ""Colegio-Universidad"", fue el primero fundado en España. En 1551 se amplió la…",15 kB (1685 palabras) - 05:00 26 may 2023
Universidad de San Luis,"récord de campeonatos nacionales, con 10. La Universidad de San Luis tiene un campus en Madrid (España) desde 1967, la Saint Louis University Madrid…",3 kB (224 palabras) - 12:01 22 oct 2022
Universidad de San Carlos de Guatemala,"La Universidad de San Carlos de Guatemala (también conocida y llamada por sus siglas: USAC) es la universidad más grande y antigua de Guatemala, siendo…",153 kB (15 973 palabras) - 21:03 30 may 2023
Universidad de Castilla-La Mancha,La Universidad de Castilla-La Mancha (UCLM) es una universidad pública española en la comunidad autónoma de Castilla-La Mancha con campus en Albacete…,21 kB (2286 palabras) - 07:30 25 abr 2023
Universidad Laboral,educación en España Ingeniería técnica en España Instituto de Educación Secundaria (IES) Universidad Universidad popular «Lago Rivero G. Universidades Laborales…,14 kB (1460 palabras) - 20:14 13 abr 2023
Universidad Martín Lutero de Halle-Wittenberg,"Bratislava, Universidad Eslovaca de Tecnología en Bratislava España: Universidad de Alcalá Sudáfrica: Universidad de Pretoria, Universidad de Stellenbosch…",20 kB (1887 palabras) - 20:51 20 feb 2023
Universidad Iberoamericana (UNIBE),"Cultural entre España y los pueblos de América; la intención de fortalecer los lazos de hispanidad entre los países americanos y España, y así como también…",8 kB (952 palabras) - 14:08 11 mar 2023
Universidad Católica Argentina,"Universidad Católica Argentina (UCA), oficialmente Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, es una universidad privada…",32 kB (3149 palabras) - 02:22 29 mar 2023
Universidad de Huelva,La Universidad de Huelva (UHU) es una universidad pública española de la provincia homónima con facultades en las localidades de Huelva y Palos de la Frontera…,16 kB (1848 palabras) - 05:44 26 may 2023
Universidad medieval,"órdenes religiosas. Las primeras universidades de la Europa cristiana fueron fundadas en Italia, en Inglaterra, en España y en Francia para el estudio del…",16 kB (1982 palabras) - 09:17 13 abr 2023
Universidad Europea Miguel de Cervantes,"La Universidad Europea Miguel de Cervantes (UEMC) es una universidad privada ubicada en Valladolid, Castilla y León (España).[2] Tiene más de 5.000 estudiantes…",8 kB (848 palabras) - 06:21 8 jun 2023
Universidad Libre de Bruselas,"La Universidad Libre de Bruselas (ULB) es una universidad belga francófona. Esta institución, creada en 1834, cuenta con seis premios Nobel y dos medallas…",7 kB (623 palabras) - 03:53 2 jun 2023
Universidad a Distancia de Madrid,1977 como Centro de Estudios Financieros. Fue la tercera universidad no presencial de España y la primera de carácter privado.[2][3] Su actividad docente…,18 kB (1604 palabras) - 20:04 12 may 2023
Universidad Pablo de Olavide,"La Universidad Pablo de Olavide (UPO) es una universidad pública situada en Sevilla, España. Fundada en 1997, es una de las universidades públicas más…",16 kB (2044 palabras) - 15:44 5 abr 2023
Universidad del País Vasco-Vasconia,"de San Sebastián), conocido popularmente como Universidad del País Vasco, fue un club deportivo de España, de la ciudad de San Sebastián en la provincia…",8 kB (1041 palabras) - 00:04 6 ene 2023
Universidad de Zaragoza,"La Universidad de Zaragoza es un centro de educación superior público repartido geográficamente entre los campus de Zaragoza, Huesca, Jaca, Teruel y La…",11 kB (1087 palabras) - 09:26 20 abr 2023
Universidad (Madrid),"Universidad (en su origen conocido como barrio de Maravillas) es un barrio del distrito Centro de la ciudad de Madrid. Lo limitan, de un modo certero…",12 kB (960 palabras) - 13:08 6 jun 2023
Universidad de El Salvador,"Universidad de El Salvador (UES) es la institución de educación superior más grande y antigua de la República de El Salvador, y la única universidad pública…",314 kB (35 118 palabras) - 15:04 3 jun 2023
Universidad de Vic - Universidad Central de Cataluña,"La Universidad de Vic - Universidad Central de Cataluña[1][2] (en catalán Universitat de Vic - Universitat Central de Catalunya), reconocida por la Ley…",6 kB (700 palabras) - 17:26 18 abr 2023
Universidad Nacional de Córdoba,"La Universidad Nacional de Córdoba (UNC) es una universidad pública de Argentina. Tiene sede en la ciudad de Córdoba. Fundada el 19 de junio de 1613, es…",84 kB (9237 palabras) - 21:05 1 jun 2023
Universidad de La Coruña,"La Universidad de La Coruña (en gallego y oficialmente Universidade da Coruña) es una universidad pública española con campus en La Coruña (Oleiros, Maestranza…",6 kB (436 palabras) - 21:07 21 feb 2023
Universidad del Bío-Bío,"de las veinticinco universidades del Consejo de Rectores de las Universidades Chilenas, y miembro de la Agrupación de Universidades Regionales de Chile…",45 kB (4998 palabras) - 04:18 7 may 2023
Universidad de las Islas Baleares,"La Universidad de las Islas Baleares, UIB (en catalán: Universitat de les Illes Balears) es una universidad en la comunidad autónoma española de las Islas…",18 kB (1774 palabras) - 20:51 18 may 2023
Universidad de Las Palmas de Gran Canaria,La Universidad de Las Palmas de Gran Canaria (ULPGC) es una universidad pública con sede en la ciudad de Las Palmas de Gran Canaria y con varias instalaciones…,61 kB (6086 palabras) - 09:10 14 abr 2023
Universidad de Mondragón,La Universidad de Mondragón (en euskera y oficialmente Mondragon Unibertsitatea) es una universidad privada de iniciativa social sin ánimo de lucro perteneciente…,5 kB (513 palabras) - 04:50 24 ene 2023
Universidad de Nueva York,Escuela de Derecho de la Universidad de Nueva York Instituto Courant de Ciencias Matemáticas Centro Rey Juan Carlos I de España Oficial de la AAU Newsweek…,6 kB (550 palabras) - 01:35 14 ago 2022
